X,Y,Z
-1.976968081317861392e-01,-1.191988886657680435e+00,-7.378145324420217754e-01
-1.047546951939579696e-01,-8.792935911630155310e-01,-9.980722464772151525e-01
-2.692607924938528186e-02,-5.328844646247490324e-01,-1.314734299171277598e+00
1.454087111775770325e-01,-3.972912201089063844e-01,-1.278694507068092179e+00
2.848741106985303029e-01,-1.883758918949095529e-01,-1.365324951839975043e+00
4.729768366485310738e-01,-8.795634108922179006e-02,-1.270438423234340641e+00
6.385241248868005481e-01,6.277785340661434788e-02,-1.259729934155841891e+00
8.525297473155976080e-01,1.054155502961795499e-01,-1.068172479828141785e+00
1.113632175806235747e+00,4.299392418652459025e-02,-7.008473524034333213e-01
1.393981893723138299e+00,-6.236282567734441340e-02,-2.616903629319237701e-01
-2.532747106749891897e-01,-1.225145535974850208e+00,-3.381116868293944089e-01
-8.320387448930499641e-02,-1.084502065769019419e+00,-3.105210869806703244e-01
-5.584288033966144926e-02,-6.255143033845349532e-01,-8.155308683505784195e-01
5.884278079533389327e-02,-3.613225614046411405e-01,-9.946405557771209605e-01
2.394102274430355282e-01,-2.440939866267102243e-01,-9.278760723768887386e-01
4.154509099504156699e-01,-1.167675131646334075e-01,-8.780057027422174531e-01
6.092547474181039258e-01,-2.906548964954080994e-02,-7.618423362929565013e-01
8.210306101619087027e-01,1.854615478645987858e-02,-5.786064583983164811e-01
1.091869076322026455e+00,-6.559374930806183279e-02,-1.749459437267059658e-01
1.313204589567614544e+00,-3.930691421279908226e-02,4.396703554318953655e-02
-2.857010715760781583e-01,-1.309946564066135188e+00,1.479938884651492703e-01
-1.707924102943245703e-01,-1.046252270775572368e+00,-3.028355108359626069e-02
-7.968471703961088615e-02,-7.294649166867130941e-01,-2.973874125785773703e-01
4.822941017672166542e-02,-4.947820481747691179e-01,-4.271277924833679629e-01
2.142029777058492290e-01,-3.449987592169289075e-01,-4.148284074331726745e-01
3.281247818471848543e-01,-7.910307369324676152e-02,-5.967888479697707194e-01
5.698801664917263476e-01,-9.836705285252844710e-02,-3.016678711549573566e-01
7.599947161078148827e-01,-2.435297505315958677e-03,-1.992731144116130504e-01
9.552945929764027344e-01,8.192949574341279462e-02,-7.752645290807042011e-02
1.252468443351158811e+00,-6.095701704642675356e-02,4.244190536894172361e-01
-3.743954900022087307e-01,-1.269229865492475406e+00,4.241042142330294640e-01
